id,ticket,company,Date,headline,news,story,neu,pos,neg,a
10,GOOGL,Alphabet Inc,20170410,In the Trump era  one U.S. Muslim investor tries a louder voice ,BOSTON  April 10 Shareholder activism is rare in Islamic finance  but one wealth manager has staked out new territory as the most outspoken voice among Muslim investors in the United States.,normal,0.784,0.216,0,0.8402
11,GOOGL,Alphabet Inc,20170407,Uber says its self-driving technology differs from Waymo's ,"SAN FRANCISCO Uber Technologies Inc said on Friday its self-driving sensor technology was ""fundamentally different"" from Waymo's  blasting the Alphabet Inc unit's claim that it profited from stolen files in the race to roll out the first driverless car.",topStory,0.871,0.054,0.075,-0.2263
12,GOOGL,Alphabet Inc,20170407,YouTube tweaks ad strategy to curb content stealing ,Alphabet Inc's YouTube said on Thursday it would place ads on channels only if they reach 10 000 views as it tries to weed out people who make money on the site by stealing content from other sources.,normal,0.882,0.027,0.091,-0.5574
13,GOOGL,Alphabet Inc,20170407,Uber says its self-driving technology differs from Waymo's ,"SAN FRANCISCO Uber Technologies Inc [UBER.UL] said on Friday its self-driving sensor technology was ""fundamentally different"" from Waymo's  blasting the Alphabet Inc  unit's claim that it profited from stolen files in the race to roll out the first driverless car.",normal,0.874,0.053,0.074,-0.2263
14,GOOGL,Alphabet Inc,20170407,UPDATE 2-Uber says its self-driving technology differs from Waymo's ,"SAN FRANCISCO  April 7 Uber Technologies Inc said on Friday its self-driving sensor technology was ""fundamentally different"" from Waymo's  blasting the Alphabet Inc unit's claim that it profited from stolen files in the race to roll out the first driverless car.",normal,0.874,0.053,0.074,-0.2263
15,GOOGL,Alphabet Inc,20170406,YouTube tweaks ad strategy to curb content stealing ,April 6 Alphabet Inc's YouTube said on Thursday it would place ads on videos only if they reach 10 000 views as it tries to weed out channels that make money by stealing content from other sources.,topStory,0.876,0.028,0.095,-0.5574
16,GOOGL,Alphabet Inc,20170406,U.S. judge warns Uber in Waymo self-driving car case ,SAN FRANCISCO A U.S. judge on Wednesday warned Uber Technologies Inc it could face a court injunction that would bar a key Uber executive from working on its self-driving car project  in a high-profile case filed by Alphabet Inc's Waymo unit.,normal,0.945,0,0.055,-0.2732
17,GOOGL,Alphabet Inc,20170405,U.S. judge warns Uber in Waymo self-driving car case ,SAN FRANCISCO  April 5 A U.S. judge on Wednesday warned Uber Technologies Inc it could face a court injunction that would bar a key Uber executive from working on its self-driving car project  in a high-profile case filed by Alphabet Inc's Waymo unit.,topStory,0.946,0,0.054,-0.2732
18,GOOGL,Alphabet Inc,20170404,Uber exec has 'no basis' to believe criminal probe underway -court filing ,"SAN FRANCISCO An Uber executive at the center of a high-profile legal dispute with Alphabet Inc's Waymo self-driving-car unit has ""no basis to believe"" any criminal investigation is underway over allegations of trade secret theft  the executive's lawyer said in a court filing.",topStory,0.791,0.032,0.177,-0.7783
19,GOOGL,Alphabet Inc,20170404,Uber executive has 'no basis' to believe criminal probe underway: court filing ,"SAN FRANCISCO An Uber executive at the center of a high-profile legal dispute with Alphabet Inc's Waymo self-driving-car unit has ""no basis to believe"" any criminal investigation is underway over allegations of trade secret theft  the executive's lawyer said in a court filing.",normal,0.791,0.032,0.177,-0.7783
20,GOOGL,Alphabet Inc,20170404,UPDATE 1-Uber exec has 'no basis' to believe criminal probe underway -court filing ,"SAN FRANCISCO  April 4 An Uber executive at the center of a high-profile legal dispute with Alphabet Inc's Waymo self-driving-car unit has ""no basis to believe"" any criminal investigation is underway over allegations of trade secret theft  the executive's lawyer said in a court filing.",normal,0.795,0.031,0.174,-0.7783
21,GOOGL,Alphabet Inc,20170327,Facebook's Messenger app adds live location-sharing ,MENLO PARK  Calif. Facebook Inc added a feature to its Messenger app on Monday to allow users to share their locations continuously for up to an hour  ramping up competition with tools offered by Apple Inc and Alphabet Inc's Google Maps.,topStory,0.903,0.097,0,0.4767
22,GOOGL,Alphabet Inc,20170327,Facebook's Messenger app adds live location-sharing ,MENLO PARK  Calif. Facebook Inc added a feature to its Messenger app on Monday to allow users to share their locations continuously for up to an hour  ramping up competition with tools offered by Apple Inc and Alphabet Inc's Google Maps.,normal,0.903,0.097,0,0.4767
23,GOOGL,Alphabet Inc,20170327,UPDATE 1-Facebook's Messenger app adds live location-sharing ,MENLO PARK  Calif.  March 27 Facebook Inc added a feature to its Messenger app on Monday to allow users to share their locations continuously for up to an hour  ramping up competition with tools offered by Apple Inc and Alphabet Inc's Google Maps.,normal,0.907,0.093,0,0.4767
24,GOOGL,Alphabet Inc,20170327,Facebook's Messenger app to allow live location-sharing ,MENLO PARK  Calif.  March 27 Facebook Inc will add a feature to its Messenger app on Monday to allow users to share their locations  the company  said  ramping up competition with tools offered by Apple Inc and Alphabet Inc's Google Maps.,normal,0.903,0.097,0,0.4767
25,GOOGL,Alphabet Inc,20170324,"BRIEF-Moody's says Alphabet's loss of ""notable advertisers"" on YouTube platform credit negative  but does not impact AA2 rating ","* Says Alphabet's loss of some ""notable advertisers"" on its YouTube platform is credit negative but does not impact AA2 rating  Source text for Eikon:",topStory,0.784,0.067,0.149,-0.296
26,GOOGL,Alphabet Inc,20170324,RPT-YouTube's bid to grab TV dollars imperiled by advertiser revolt ,March 24 The decision by a handful of high-profile consumer brands to pull advertising from Google’s YouTube over offensive content could threaten the site’s long-term strategy of stealing ad dollars from television  analysts and ad industry professionals said Thursday.,normal,0.79,0,0.21,-0.8519
27,GOOGL,Alphabet Inc,20170324,YouTube's bid to grab TV dollars imperiled by advertiser revolt ,The decision by a handful of high-profile consumer brands to pull advertising from Google’s YouTube over offensive content could threaten the site’s long-term strategy of stealing ad dollars from television  analysts and ad industry professionals said Thursday.,normal,0.78,0,0.22,-0.8519
28,GOOGL,Alphabet Inc,20170324,YouTube's bid to grab TV dollars imperiled by advertiser revolt ,March 23 The decision by a handful of high-profile consumer brands to pull advertising from Google’s YouTube over offensive content could threaten the site’s long-term strategy of stealing ad dollars from television  analysts and ad industry professionals said Thursday.,normal,0.79,0,0.21,-0.8519
29,GOOGL,Alphabet Inc,20170322,Google allows users to share their locations in mapping app ,Alphabet Inc's Google announced on Wednesday that it will revamp its popular maps app to allow users to share their locations  in order to boost engagement on a product of increasing strategic importance to the search giant.,topStory,0.665,0.335,0,0.9201
30,GOOGL,Alphabet Inc,20170322,Google allows users to share their locations in mapping app ,Alphabet Inc's Google announced on Wednesday that it will revamp its popular maps app to allow users to share their locations  in order to boost engagement on a product of increasing strategic importance to the search giant.,normal,0.665,0.335,0,0.9201
31,GOOGL,Alphabet Inc,20170322,Google allows users to share their locations in mapping app ,March 22 Alphabet Inc's Google announced on Wednesday that it will revamp its popular maps app to allow users to share their locations  in order to boost engagement on a product of increasing strategic importance to the search giant.,normal,0.679,0.321,0,0.9201
32,GOOGL,Alphabet Inc,20170317,EU consumer authorities to take on Facebook  Google  Twitter ,BRUSSELS European consumer protection authorities will ask social media companies Facebook Inc  Alphabet Inc and Twitter Inc to amend their terms of service within one month or possibly face fines  a source familiar with the matter said on Thursday.,topStory,0.971,0.029,0,0.0258
33,GOOGL,Alphabet Inc,20170317,U.S. financial firms embrace cloud  'fat fingers' notwithstanding ,NEW YORK Only two years ago  an outage similar to the one that struck Amazon's cloud services last month would have reinforced U.S. financial firms' view that shifting data and systems onto the public cloud was just too risky.,normal,0.907,0,0.093,-0.4215
34,GOOGL,Alphabet Inc,20170315,Turner  Fox  Viacom to offer advertisers way to laser focus on audience ,NEW YORK  March 15 Major U.S. media companies Time Warner Inc’s Turner  Viacom Inc and 21st Century Fox Inc’s Fox Networks Group will launch OpenAP  a program for advertisers to laser focus their commercials at specific audiences on television.,normal,1,0,0,0
35,GOOGL,Alphabet Inc,20170311,Alphabet adds patent claim to Uber intellectual property theft lawsuit ,Alphabet Inc's  self-driving car unit Waymo on Friday added a new patent claim to its intellectual property lawsuit against Uber Technologies Inc and requested a preliminary injunction to stop the ride-sharing service from using what it says is proprietary information  a court filing showed.,topStory,0.837,0.073,0.09,0.0516
36,GOOGL,Alphabet Inc,20170311,UPDATE 2-Alphabet adds patent claim to Uber intellectual property theft lawsuit ,March 10 Alphabet Inc's self-driving car unit Waymo on Friday added a new patent claim to its intellectual property lawsuit against Uber Technologies Inc and requested a preliminary injunction to stop the ride-sharing service from using what it says is proprietary information  a court filing showed.,normal,0.844,0.07,0.086,0.0516
37,GOOGL,Alphabet Inc,20170310,Alphabet adds patent claim to Uber intellectual property theft lawsuit ,Alphabet Inc's self-driving car unit Waymo on Friday added a new patent claim to its intellectual property lawsuit against Uber Technologies Inc and requested a preliminary injunction to stop the ride-sharing service from using what it says is proprietary information  a court filing showed.,topStory,0.837,0.073,0.09,0.0516
38,GOOGL,Alphabet Inc,20170310,Alphabet self-driving car unit seeks injunction against Uber ,March 10 Alphabet Inc's self-driving car unit on Friday said it would seek a preliminary injunction against Uber in a high-profile intellectual property lawsuit  according to a court filing.,normal,0.815,0.121,0.064,0.3947
39,GOOGL,Alphabet Inc,20170307,Google reported by Danish watchdog for unlimited data storage ,COPENHAGEN A Danish consumer watchdog has reported Alphabet Inc's Google to the Danish Data Protection Agency for potentially breaking privacy laws by not capping the amount of time personal data is stored on Google's servers  the watchdog said in a statement on Tuesday.,topStory,1,0,0,0
40,GOOGL,Alphabet Inc,20170307,Google reported by Danish watchdog for unlimited data storage ,COPENHAGEN  March 7 A Danish consumer watchdog has reported Alphabet Inc's Google to the Danish Data Protection Agency for potentially breaking privacy laws by not capping the amount of time personal data is stored on Google's servers  the watchdog said in a statement on Tuesday.,normal,1,0,0,0
41,GOOGL,Alphabet Inc,20170307,Google foe takes Android complaint to regulators ,BRUSSELS  March 7 Open Internet Project  whose members include Axel Springer and Getty Images  on Tuesday accused Alphabet unit Google of imposing anti-competitive curbs on Android smartphone makers  its second complaint against the U.S. tech giant.,normal,0.847,0,0.153,-0.5859
42,GOOGL,Alphabet Inc,20170306,RPT-Alphabet lawsuit against Uber cements end of uneasy marriage ,SAN FRANCISCO  March 6 When Uber Technologies Inc was raising venture capital in 2013  it was one of the hottest deals around – and no one was more eager to write a check than Bill Maris and David Krane of Google's venture capital arm.,topStory,0.887,0.063,0.05,0.1513
43,GOOGL,Alphabet Inc,20170306,Alphabet lawsuit against Uber cements end of uneasy marriage ,SAN FRANCISCO When Uber Technologies Inc [UBER.UL] was raising venture capital in 2013  it was one of the hottest deals around – and no one was more eager to write a check than Bill Maris and David Krane of Google's venture capital arm.,normal,0.887,0.063,0.05,0.1513
44,GOOGL,Alphabet Inc,20170306,Alphabet lawsuit against Uber cements end of uneasy marriage ,SAN FRANCISCO  March 6 When Uber Technologies Inc was raising venture capital in 2013  it was one of the hottest deals around – and no one was more eager to write a check than Bill Maris and David Krane of Google's venture capital arm.,normal,0.887,0.063,0.05,0.1513
45,GOOGL,Alphabet Inc,20170301,Uber's self-driving unit quietly bought firm with tech at heart of Alphabet lawsuit ,SAN FRANCISCO A company now owned by Uber last year quietly bought a small firm specializing in sensor technology used in autonomous vehicles  giving the ride services company a patent in the technology and possibly a defense against a trade secrets theft lawsuit filed against it by rival Alphabet Inc.,topStory,0.879,0.082,0.04,0.25
46,GOOGL,Alphabet Inc,20170301,RPT-Uber's self-driving unit quietly bought firm with tech at heart of Alphabet lawsuit ,SAN FRANCISCO  Feb 28 A company now owned by Uber last year quietly bought a small firm specializing in sensor technology used in autonomous vehicles  giving the ride services company a patent in the technology and possibly a defense against a trade secrets theft lawsuit filed against it by rival Alphabet Inc.,normal,0.884,0.078,0.038,0.25
47,GOOGL,Alphabet Inc,20170301,Uber's self-driving unit quietly bought firm with tech at heart of Alphabet lawsuit ,SAN FRANCISCO  Feb 28 A company now owned by Uber last year quietly bought a small firm specializing in sensor technology used in autonomous vehicles  giving the ride services company a patent in the technology and possibly a defense against a trade secrets theft lawsuit filed against it by rival Alphabet Inc.,normal,0.884,0.078,0.038,0.25
48,GOOGL,Alphabet Inc,20170228,CORRECTED-Uber exec asked to resign for not disclosing prior sexual harassment allegation- Recode ,Feb 27 Uber Technologies Inc's senior vice president of engineering  Amit Singhal  has left the company for failing to disclose a sexual harassment allegation  stemming from his tenure at Alphabet Inc's Google  Recode reported  citing sources.,topStory,0.829,0,0.171,-0.7783
49,GOOGL,Alphabet Inc,20170225,Alphabet's self-driving car unit sues Uber with trade theft charge ,SAN FRANCISCO Alphabet Inc's  Waymo self-driving car unit sued Uber Technologies [UBER.UL] and its autonomous trucking subsidiary Otto on Thursday over allegations of theft of its confidential and proprietary sensor technology. | Video ,topStory,1,0,0,0
50,GOOGL,Alphabet Inc,20170224,Alphabet's self-driving car unit sues Uber with trade theft charge ,SAN FRANCISCO Alphabet Inc's  Waymo self-driving car unit sued Uber Technologies [UBER.UL] and its autonomous trucking subsidiary Otto on Thursday over allegations of theft of its confidential and proprietary sensor technology.,topStory,1,0,0,0
51,GOOGL,Alphabet Inc,20170224,Alphabet's self-driving car unit sues Uber with trade theft charge ,SAN FRANCISCO Alphabet Inc's Waymo self-driving car unit sued Uber Technologies and its autonomous trucking subsidiary Otto on Thursday over allegations of theft of its confidential and proprietary sensor technology.,normal,1,0,0,0
52,GOOGL,Alphabet Inc,20170224,UPDATE 2-Alphabet's self-driving car unit sues Uber with trade theft charge ,SAN FRANCISCO  Feb 23 Alphabet Inc's Waymo self-driving car unit sued Uber Technologies and its autonomous trucking subsidiary Otto on Thursday over allegations of theft of its confidential and proprietary sensor technology.,normal,1,0,0,0
53,GOOGL,Alphabet Inc,20170222,BRIEF-S&P upgrades Alphabet Inc to 'AA+' on continued strong operating performance  conservative financial policy ,* Alphabet Inc. upgraded to 'AA+' on continued strong operating performance and conservative financial policy  Source text (http://bit.ly/2lvxKWt) Further company coverage:,topStory,0.852,0.148,0,0.5106
54,GOOGL,Alphabet Inc,20170222,Confident Snap brushes off concerns on second day of IPO roadshow ,"NEW YORK Snap Inc  owner of popular messaging app Snapchat  fended off investor skepticism on the second day of its IPO roadshow on Tuesday  betting on the charisma of CEO Evan Spiegel  26  whom it introduced as a ""once in a generation founder."" | Video ",normal,0.893,0.062,0.045,0.2023
55,GOOGL,Alphabet Inc,20170217,BlackRock's largest mutual fund sours on Google ,NEW YORK  Feb 17 Managers of BlackRock Inc's  largest mutual fund  fearing Trump administration policies could hurt technology companies with hefty foreign revenue streams  have reshuffled their top holdings  and it appears one of the first casualties is Google.,normal,0.802,0.04,0.158,-0.743
56,GOOGL,Alphabet Inc,20170216,Telenor to roll out Google's new messaging service in Asia  Europe ,Alphabet Inc's Google said on Thursday it partnered with Telenor ASA to roll out Rich Communications Services (RCS)  an upgraded messaging service  to the Norwegian telecoms company's subscribers in Asia and Europe.,topStory,0.896,0.104,0,0.5574
57,GOOGL,Alphabet Inc,20170216,UPDATE 1-Telenor to roll out Google's new messaging service in Asia  Europe ,Feb 16 Alphabet Inc's Google said on Thursday it partnered with Telenor ASA to roll out Rich Communications Services (RCS)  an upgraded messaging service  to the Norwegian telecoms company's subscribers in Asia and Europe.,normal,0.902,0.098,0,0.5574
58,GOOGL,Alphabet Inc,20170216,Telenor to roll out Google's new messaging service in Asia  Europe ,Feb 16 Alphabet Inc's Google said on Thursday it partnered with Telenor ASA to roll out Rich Communications Services (RCS)  an upgraded messaging service  to the Norwegian telecommunications company's subscribers in Asia and Europe.,normal,0.902,0.098,0,0.5574
59,GOOGL,Alphabet Inc,20170214,BRIEF-Jana Partners LLC dissolves sole share stake in Alphabet  Marathon Petroleum ,* Jana Partners LLC dissolves sole share stake in Alphabet Inc - SEC filing,topStory,0.833,0.167,0,0.296
60,GOOGL,Alphabet Inc,20170214,BRIEF-Omega Advisors cuts share stake in Alphabet  Microsoft; dissolves in Chesapeake Energy ,* Omega Advisors Inc takes share stake of 50 000 shares in Bluebird Bio Inc - SEC filing,normal,0.761,0.239,0,0.5267
61,GOOGL,Alphabet Inc,20170210,BRIEF-Vanguard Group reports 6.49 pct passive stake in Alphabet Inc as of Dec. 31 ,* Vanguard Group reports 6.49 percent passive stake in Alphabet Inc as of dec 31  2016 versus previous passive stake of 5.92 percent as of dec 31  2015 - sec filing  Source text (http://bit.ly/2lrPNQ8) Further company coverage:,topStory,0.902,0.098,0,0.3818
62,GOOGL,Alphabet Inc,20170203,UPDATE 5-Uber CEO quits Trump's business advisory group ,SAN FRANCISCO/WASHINGTON Feb 2 Uber Technologies Inc Chief Executive Officer Travis Kalanick quit President Donald Trump's business advisory group on Thursday amid mounting pressure from activists and employees who oppose the administration's immigration policies.,normal,0.936,0,0.064,-0.296
63,GOOGL,Alphabet Inc,20170202,UPDATE 2-Microsoft asks for exception program on Trump immigration orders ,Feb 2 Microsoft Corp on Thursday said it proposed a program to U.S. President Donald Trump's administration allowing people from seven predominantly Muslim nations to enter and leave the United States on business or family emergency travel if they hold valid work or student visas and have not committed any crimes.,normal,0.842,0.052,0.105,-0.2057
64,GOOGL,Alphabet Inc,20170202,Microsoft asks Trump administration for exception program on immigration orders ,Microsoft Corp on Thursday said it had sent a proposal to U.S. President Donald Trump's administration to create a program to let people from seven predominantly Muslim nations enter and leave the United States on business or family emergency travel if they hold a valid work or student visa and have not committed any crimes.,normal,0.817,0.085,0.098,0.0736
65,GOOGL,Alphabet Inc,20170127,Alphabet's hardware growth adds to strength in core ad business ,Alphabet Inc's  core advertising business remained strong and its smartphone and home-automation products were gaining traction  analysts said a day after the company missed profit expectations  hurt by a higher tax rate.,topStory,0.631,0.227,0.141,0.5267
66,GOOGL,Alphabet Inc,20170127,Alphabet posts strong revenue growth  higher taxes hit earnings ,Google parent Alphabet Inc posted fourth-quarter profit below analysts' estimates on Thursday  hurt by a higher tax rate  but analysts cheered the company's progress in diversifying its business beyond advertising.,normal,0.67,0.271,0.059,0.836
67,GOOGL,Alphabet Inc,20170126,BRIEF-Alphabet Inc reports 4th-qtr non-GAAP EPS of $9.36 ,* Qtrly non-GAAP diluted EPS for class A and B common stock and class C capital stock $9.36,topStory,1,0,0,0
68,GOOGL,Alphabet Inc,20170126,Alphabet quarterly revenue rises 22.2 pct ,Jan 26 Google parent Alphabet Inc  reported a 22.2 percent increase in quarterly revenue on Thursday as advertisers spent more to reach an expanding user base that spends ever more time on smartphones and on YouTube.,normal,0.9,0.1,0,0.3976
69,GOOGL,Alphabet Inc,20170126,BRIEF-Alphabet Inc quarterly results press release ,Please click on the link below for Alphabet Inc's quarterly earnings press release:  Source text: http://bit.ly/2j9cUOB,normal,0.867,0.133,0,0.3182
70,GOOGL,Alphabet Inc,20170110,RPT-UPDATE 1-Italy looking at Google proposal to settle tax dispute - source ,MILAN  Jan 10 Italy's tax authorities are looking at a proposal from Alphabet Inc's Google to pay between 270 million and 280 million euros ($286-296 million) to settle a tax dispute  a source close to the matter said on Tuesday.,topStory,0.867,0.028,0.105,-0.4588
71,GOOGL,Alphabet Inc,20170104,U.S. Labor department sues Google for compensation data ,The U.S. Department of Labor said on Wednesday it filed a lawsuit against Alphabet Inc's  Google unit seeking access to the company's compensation data and documents as part of a routine compliance evaluation.,topStory,0.94,0,0.06,-0.2263
72,GOOGL,Alphabet Inc,20161116,Google CEO to meet with EU antitrust chief on Friday ,The chief executive of Alphabet Inc's  Google and the European Union's antitrust chief will meet on Friday  following the U.S. technology group's formal rejection this month of a spate of charges  including blocking rivals in online search advertising.,topStory,0.806,0,0.194,-0.802
73,GOOGL,Alphabet Inc,20161116,Google CEO to meet with EU antitrust chief on Friday ,Nov 16 The chief executive of Alphabet Inc's  Google and the European Union's antitrust chief will meet on Friday  following the U.S. technology group's formal rejection this month of a spate of charges  including blocking rivals in online search advertising.,normal,0.814,0,0.186,-0.802
74,GOOGL,Alphabet Inc,20161115,Google announces artificial intelligence group for Google Cloud ,Alphabet's Google announced the formation of an artificial intelligence group for Google Cloud  the tech company's latest gambit to increase its market share in the lucrative cloud computing business.,topStory,0.774,0.226,0,0.765
75,GOOGL,Alphabet Inc,20161115,Google says it will expand operations in London ,LONDON  Nov 15 Alphabet Inc's Google said on Tuesday it will expand its London offices to eventually accommodate 7 000 employees  up from around 4 000 at the moment.,normal,0.919,0.081,0,0.3182
76,GOOGL,Alphabet Inc,20161115,Apple considering expansion into wearable glasses - Bloomberg ,Nov 14 Apple Inc is considering expanding into wearable glass headsets and has talked about the project with potential suppliers  Bloomberg reported citing people familiar with the matter.,normal,0.961,0.039,0,0.0258
77,GOOGL,Alphabet Inc,20161114,BRIEF-Soros Fund Management takes share stake in Alphabet  dissolves stake in GM - SEC filing ,* Soros Fund Management dissolves share stake in General Motors - SEC filing,topStory,0.82,0.18,0,0.296
78,GOOGL,Alphabet Inc,20161114,BRIEF-Appaloosa cuts share stake in Alphabet  ups in Kinder Morgan ,* Appaloosa LP cuts share stake in Alphabet Inc to 472 000 shares of class C capital stock from 630 000 shares of class C capital stock,normal,0.694,0.229,0.076,0.5267
79,GOOGL,Alphabet Inc,20161114,BRIEF-Tiger Global Management raises share stake in Apple  cuts share stake in Amazon ,* Tiger Global Management takes share stake of 283 877 Class C capital stock in Alphabet Inc,normal,0.864,0.136,0,0.296
80,GOOGL,Alphabet Inc,20161114,BRIEF-Jana Partners cuts sole share stake in Alphabet  takes sole share stake in Mondelez International ,* Jana Partners LLC takes sole share stake of 111 127 shares in Sage Therapeutics Inc,normal,0.747,0.253,0,0.5267
81,GOOGL,Alphabet Inc,20161110,BRIEF-Third Point ups stake in Alphabet & Facebook  cuts in Charter ,* Third Point LLC dissolves share stake in Activision Blizzard Inc,topStory,0.804,0.196,0,0.296
82,GOOGL,Alphabet Inc,20161107,Eye-tracking firm Tobii to raise cash for virtual reality  smartphone investments ,STOCKHOLM  Nov 7 Swedish firm Tobii  on Monday announced plans to raise 450 million crowns ($50 million) in a rights issue to invest in technology for virtual reality and smartphones.,normal,1,0,0,0
83,GOOGL,Alphabet Inc,20161105,Alphabet's unit discloses Snapchat investment ,Nov 4 Alphabet Inc's venture capital arm CapitalG  earlier known as Google Capital  disclosed an investment in Snapchat by adding the social networking firm's logo to a page on its investment portfolio website.,normal,1,0,0,0
84,GOOGL,Alphabet Inc,20161103,Google formally rejects EU antitrust charges ,BRUSSELS Google  on Thursday formally rejected European Union antitrust charges of unfairly promoting its shopping service and blocking rivals in online search advertising  paving the way for EU regulators to rule next year on these issues and potentially impose hefty fines.,topStory,0.739,0.051,0.209,-0.7717
85,GOOGL,Alphabet Inc,20161027,Alphabet's quarterly revenue rises 20.2 percent ,Oct 27 Google parent Alphabet Inc  reported a 20.2 percent increase in quarterly revenue on Thursday  helped by robust sales of advertising on mobile devices and YouTube.,topStory,0.836,0.164,0,0.5719
86,GOOGL,Alphabet Inc,20161027,Indonesia hopes to reach tax settlement with Google: finmin ,JAKARTA Indonesia aims to reach a tax settlement with Alphabet Inc's Google  Finance Minister Sri Mulyani Indrawati said on Thursday.,normal,0.942,0.058,0,0.0258
87,GOOGL,Alphabet Inc,20161027,Indonesia hopes to reach tax settlement with Google - finmin ,JAKARTA  Oct 27 Indonesia aims to reach a tax settlement with Alphabet Inc's Google  Finance Minister Sri Mulyani Indrawati said on Thursday.,normal,0.948,0.052,0,0.0258
88,GOOGL,Alphabet Inc,20161026,UPDATE 1-Salesforce.com CEO speaks of failed efforts to buy Twitter  LinkedIn ,Oct 26 Salesforce.com Inc Chief Executive Officer Marc Benioff spoke on Wednesday about a pair of key acquisitions that got away  suggesting his vision for LinkedIn Corp was different from Microsoft Corp's  and that he would have pursued Twitter Inc if shareholders had not learned of his plans.,normal,0.958,0.042,0,0.25
89,GOOGL,Alphabet Inc,20161026,Salesforce.com CEO speaks of failed efforts to buy Twitter  LinkedIn ,Oct 26 Salesforce.com Inc Chief Executive Marc Benioff spoke on Wednesday about a pair of key acquisitions that got away  suggesting his vision for LinkedIn  was different from Microsoft's and that he would have pursued Twitter if shareholders had not learned of his plans,normal,0.955,0.045,0,0.25
90,GOOGL,Alphabet Inc,20161020,Investment banks scramble to fill top jobs in Italy ,LONDON Headhunters are trying to lure Italian bankers in London back to jobs at home  hoping to use Britain's vote to leave the EU as leverage to fill a string of vacancies at investment banks in Europe's fourth largest economy.,normal,0.902,0.068,0.029,0.3818
91,GOOGL,Alphabet Inc,20161020,Google signs CBS  in talks with others on web TV: sources ,Alphabet Inc's  Google has reached an agreement with CBS Corp  to carry the network on its planned web TV service and is in advanced talks with 21st Century Fox   Walt Disney Co  and Viacom Inc  to distribute their channels  people with knowledge of the talks told Reuters on Wednesday.,normal,0.875,0.125,0,0.6808
92,GOOGL,Alphabet Inc,20161020,UPDATE 3-Google signs CBS  in talks with others on web TV -sources ,Oct 19 Alphabet Inc's Google has reached an agreement with CBS Corp to carry the network on its planned web TV service and is in advanced talks with 21st Century Fox  Walt Disney Co and Viacom Inc  to distribute their channels  people with knowledge of the talks told Reuters on Wednesday.,normal,0.879,0.121,0,0.6808
